sale_id,sale_date,sale_time,branch_id,customer_id,product_id,seller_id,sales_channel,payment_method,quantity,unit_price,discount_pct
dbb1270d-f912-44b8-8e22-1d4ad9d9fd05,2026-04-01,10:44:21,BR-06,C-0431,P-0076,S-08,Web,DigitalWallet,2,101.93,0.0
dbb1270d-f912-44b8-8e22-1d4ad9d9fd05,2026-04-01,10:44:21,BR-06,C-0431,P-0076,S-08,Web,DigitalWallet,2,101.93,0.0
,2026-04-01,09:20:21,BR-01,C-0261,P-0010,S-01,Web,DigitalWallet,2,12.3,0.0
04fac04f-0f44-4d77-89b4-0e73a7d0298c,2026-15-40,09:51:31,BR-02,C-0175,P-0063,S-05,Store,Card,5,141.45,0.0
4ed12ac4-b8ca-4729-954d-358b6a0bee16,2026-04-01,14:26:16,BR-05,C-0077,P-0076,S-10,Web,Transfer,0,101.93,0.0
51d9f5cc-11d5-4f8f-8108-44680c080a46,2026-04-01,17:43:26,BR-03,C-0279,P-0037,S-04,Web,Transfer,-5,208.2,0.0
916927e0-9f69-4a02-a76a-0ff76fc5ca7a,2026-04-01,14:51:01,BR-06,C-0344,P-0006,S-13,Phone,Transfer,4,-10.5,0.0
97a005c5-4255-4aee-b831-fd5830cd3dcb,2026-04-01,15:41:32,BR-01,C-0212,P-0021,S-18,Web,Card,5,202.43,0.5
e61a4485-1e8f-4611-8061-b77d18c12bd0,2026-04-01,16:34:09,BR-04,C-0265,P-0065,S-17,Pigeon,Transfer,1,211.5,0.0
29d1a407-748a-43df-8433-a1f868524c3a,2026-04-01,16:34:14,BR-06,C-0123,P-0058,S-11,Store,Gold,4,183.64,0.0
3cf1b6e7-f1c8-44ec-9486-293e0d2530da,2026-04-01,15:09:04,BR-05,C-0043,P-9999,S-02,Store,Card,1,202.75,0.16
c3ac1387-6fce-4e70-8105-37d1b1eed023,2026-04-01,12:58:43,,C-0095,P-0019,S-07,Phone,Card,3,203.31,0.0
